YEAR,MONTH,id_area,id_type,count
2024,7,1,1,1
2024,7,1,2,0
2024,7,1,3,0
2024,7,1,4,0
2024,7,1,5,1
2024,7,1,6,1
2024,7,1,7,0
2024,7,1,8,0
2024,7,2,1,1
2024,7,2,2,0
2024,7,2,3,1
2024,7,2,4,1
2024,7,2,5,1
2024,7,2,6,1
2024,7,2,7,0
2024,7,2,8,1
2024,7,3,1,0
2024,7,3,2,0
2024,7,3,3,0
2024,7,3,4,0
2024,7,3,5,1
2024,7,3,6,1
2024,7,3,7,0
2024,7,3,8,0
2024,7,4,1,2
2024,7,4,2,1
2024,7,4,3,1
2024,7,4,4,1
2024,7,4,5,3
2024,7,4,6,4
2024,7,4,7,1
2024,7,4,8,1
2024,7,5,1,1
2024,7,5,2,1
2024,7,5,3,1
2024,7,5,4,1
2024,7,5,5,2
2024,7,5,6,3
2024,7,5,7,1
2024,7,5,8,1
2024,7,6,1,0
2024,7,6,2,0
2024,7,6,3,0
2024,7,6,4,0
2024,7,6,5,1
2024,7,6,6,0
2024,7,6,7,0
2024,7,6,8,0
2024,7,7,1,1
2024,7,7,2,1
2024,7,7,3,1
2024,7,7,4,1
2024,7,7,5,2
2024,7,7,6,2
2024,7,7,7,1
2024,7,7,8,1
2024,7,8,1,1
2024,7,8,2,1
2024,7,8,3,1
2024,7,8,4,1
2024,7,8,5,1
2024,7,8,6,1
2024,7,8,7,0
2024,7,8,8,1
2024,7,9,1,4
2024,7,9,2,4
2024,7,9,3,4
2024,7,9,4,3
2024,7,9,5,11
2024,7,9,6,12
2024,7,9,7,4
2024,7,9,8,3
2024,7,10,1,1
2024,7,10,2,2
2024,7,10,3,2
2024,7,10,4,1
2024,7,10,5,3
2024,7,10,6,4
2024,7,10,7,1
2024,7,10,8,1
2024,7,11,1,0
2024,7,11,2,1
2024,7,11,3,0
2024,7,11,4,0
2024,7,11,5,1
2024,7,11,6,0
2024,7,11,7,1
2024,7,11,8,0
2024,7,12,1,1
2024,7,12,2,0
2024,7,12,3,1
2024,7,12,4,1
2024,7,12,5,1
2024,7,12,6,1
2024,7,12,7,0
2024,7,12,8,1
2024,7,13,1,1
2024,7,13,2,1
2024,7,13,3,1
2024,7,13,4,1
2024,7,13,5,1
2024,7,13,6,2
2024,7,13,7,1
2024,7,13,8,1
2024,7,14,1,2
2024,7,14,2,2
2024,7,14,3,1
2024,7,14,4,2
2024,7,14,5,4
2024,7,14,6,5
2024,7,14,7,1
2024,7,14,8,2
2024,7,15,1,1
2024,7,15,2,1
2024,7,15,3,2
2024,7,15,4,1
2024,7,15,5,2
2024,7,15,6,2
2024,7,15,7,1
2024,7,15,8,1
2024,7,16,1,5
2024,7,16,2,7
2024,7,16,3,7
2024,7,16,4,5
2024,7,16,5,10
2024,7,16,6,11
2024,7,16,7,4
2024,7,16,8,5
